"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"11/2020";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"18.586.132,54";"2.648.941,79";"89.302.198,68";"516.840,50";
"02/2020";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"16.990.875,94";"118.858.807,32";"120.058.369,82";"11.287.678,61";
"04/2020";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"60.311.915,05";"132.507.438,65";"128.977.263,73";"2.143.355,20";
"01/2020";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"1.033.770.029,32";"119.394.488,07";"32.398.371,87";"107.103.735,22";
"08/2020";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"3.297.058,85";"129.439.201,94";"130.469.975,12";"1.587.459,74";
"09/2020";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"35.935.905,88";"132.526.044,68";"132.564.357,60";"1.616.017,22";
"07/2020";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"193.759.969,48";"130.343.380,25";"169.489.267,97";"1.253.929,93";
"06/2020";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"103.237.795,50";"170.034.630,42";"133.465.253,54";"3.900.884,28";
"03/2020";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"37.580.183,81";"126.358.922,03";"126.527.503,99";"4.679.513,83";
"05/2020";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"34.423.413,99";"131.138.495,67";"126.211.844,79";"6.990.292,70";
"10/2020";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"6.103.136,95";"130.052.203,05";"132.764.650,87";"1.945.395,35";
